,GSM215051,GSM215052,GSM215053,GSM215054,GSM215055,GSM215056,GSM215057,GSM215058,GSM215059,GSM215060,GSM215061,GSM215062,GSM215063,GSM215064,GSM215065,GSM215066,GSM215067,GSM215068,GSM215069,GSM215070,GSM215071,GSM215072,GSM215073,GSM215074,GSM215075,GSM215076,GSM215077,GSM215078,GSM215079,GSM215080,GSM215081,GSM215082,GSM215083,GSM215084,GSM215085,GSM215086,GSM215087,GSM215088,GSM215089,GSM215090,GSM215091,GSM215092,GSM215093,GSM215094,GSM215095,GSM215096,GSM215097,GSM215098,GSM215099,GSM215100,GSM215101,GSM215102,GSM215103,GSM215104,GSM215105,GSM215106,GSM215107,GSM215108,GSM215109,GSM215110,GSM215111,GSM215112,GSM215113,GSM215114
PC,6.28343,6.26069,6.39468,6.36679,6.2194400000000005,6.29866,5.91639,6.03143,6.23966,6.08795,5.850619999999999,6.1607400000000005,6.6576,5.93825,6.02155,5.74518,6.04442,6.6845300000000005,6.16063,5.69421,5.73476,5.61101,6.67691,6.33089,6.37108,6.33863,5.68889,5.484319999999999,5.98055,5.93732,5.91254,5.95653,5.93043,5.625780000000001,5.91994,6.08645,5.97047,5.92516,6.05886,6.10439,5.76198,6.09464,6.63265,5.73911,5.070069999999999,5.647419999999999,5.61348,5.70442,5.19676,5.67382,6.41589,5.14304,5.44348,5.9207,5.23378,5.9691,5.5883,5.97527,5.5174900000000004,5.9135599999999995,5.94102,6.44077,5.26679,5.73465
PCK1,11.09136,10.28544,10.88836,11.04301,11.01396,10.49417,10.9439,10.94931,10.965760000000001,11.34682,10.46079,10.23583,10.311739999999999,10.18395,11.352219999999999,11.59538,11.034310000000001,11.58581,10.77207,11.48585,11.402239999999999,10.65673,11.01958,11.28743,11.30452,10.540280000000001,11.11065,11.06375,10.91415,11.61177,11.20927,11.35463,7.8532,3.94766,6.4836599999999995,7.46386,7.0437899999999996,6.939369999999999,7.09035,4.43746,7.92848,6.50444,6.758939999999999,6.5930100000000005,6.07569,6.55279,7.356139999999999,6.55199,8.33107,5.53447,7.02963,7.296069999999999,8.480830000000001,6.7293199999999995,6.5972,8.04768,6.234780000000001,7.916980000000001,6.3979099999999995,5.2188099999999995,7.09685,5.1182300000000005,4.02473,7.88443
PCK2,8.79157,8.865730000000001,8.8311,8.91894,9.063310000000001,9.06122,8.75968,8.904630000000001,8.7474,8.743,8.25675,9.0093,8.66952,8.59657,8.4953,8.70544,8.53961,8.86075,8.71904,8.667639999999999,8.88884,8.68613,8.715530000000001,8.6137,9.03856,8.567960000000001,8.4364,8.39975,8.628589999999999,8.36154,9.16801,8.92118,8.62776,8.251539999999999,8.67959,8.76782,9.115730000000001,9.1925,9.60181,9.311,8.89669,8.71057,9.2766,8.04948,7.87763,8.97948,8.561119999999999,8.6881,8.2775,8.703289999999999,8.351189999999999,8.64217,8.86347,8.84706,8.39541,8.77365,8.73434,8.80407,8.73425,8.170169999999999,8.14265,8.1156,9.07158,8.7309
PDHA1,8.80412,8.9198,8.897583333333335,8.844176666666666,9.14344,9.16086,8.766303333333333,8.970033333333333,8.970583333333334,9.067583333333333,8.924543333333334,9.193193333333333,8.386930000000001,9.035996666666668,9.014326666666667,9.14653,8.726143333333333,9.054066666666666,9.113273333333332,8.917773333333335,9.062886666666667,8.946043333333334,8.86416,8.74471,9.058223333333332,8.688383333333334,8.685603333333335,8.828323333333334,9.054246666666666,9.294733333333333,9.353250000000001,9.02774,9.17312,8.783046666666666,9.303756666666667,9.122003333333334,9.44952,9.603883333333334,9.079583333333334,9.113883333333334,9.495776666666666,8.792776666666667,8.381343333333334,8.960436666666666,9.310933333333333,9.30315,8.946286666666667,9.401916666666667,9.139909999999999,9.300173333333333,9.189403333333333,8.956296666666667,8.988583333333333,9.22837,9.108993333333332,9.215933333333334,9.294966666666667,9.036056666666667,8.581046666666667,8.21668,8.86833,9.686056666666667,8.728166666666667,9.064359999999999
PDHA2,4.1285099999999995,3.7957699999999996,4.09508,3.3698099999999998,3.9348099999999997,4.19929,3.9249699999999996,4.12355,3.8712800000000005,3.95546,3.89016,3.9192699999999996,4.677630000000001,3.6987900000000002,3.6538,3.7320800000000003,3.98926,3.76519,3.94403,4.00175,3.94424,4.32245,3.7787800000000002,4.10381,4.06302,4.12713,3.68013,3.98956,3.9496599999999997,4.0004800000000005,3.87194,3.84384,3.6962,4.0956,3.91906,4.3407599999999995,3.7054699999999996,4.2499199999999995,3.78335,4.12979,3.8266,3.76784,4.13809,4.01553,3.79484,3.89709,3.97068,4.0362,3.80113,3.87495,4.0961099999999995,3.92329,3.92518,4.04483,3.5328199999999996,3.67381,3.9013699999999996,3.91091,3.74951,4.13852,3.75145,3.66189,3.9587199999999996,4.20874
PDHB,9.36064,9.428015,9.420545,9.6724,9.88403,9.714034999999999,9.700759999999999,9.549199999999999,9.73213,9.745495,9.717455000000001,9.852004999999998,9.49517,9.672149999999998,9.999455000000001,9.831814999999999,9.69461,9.744495,9.60978,9.492725,9.838415000000001,9.558145,9.795645,9.583915,9.928885000000001,9.17992,9.325175,9.569745000000001,9.5912,9.483675,9.68802,9.61241,9.29933,9.3814,9.77403,9.757575,10.148905,9.911620000000001,10.01864,9.957615,10.202315,9.557784999999999,8.997775,9.900784999999999,9.660165,9.834495,9.96709,9.918,9.863985,9.843165,9.73334,9.584905,9.93132,10.066279999999999,9.80392,9.741989999999998,9.89443,9.528835,9.174965,9.517975,9.644745,9.654775,9.733450000000001,9.657045
PKLR,4.583806666666667,4.392343333333334,4.255613333333334,4.417913333333334,4.2960199999999995,4.332626666666667,4.359769999999999,4.591723333333333,4.57407,4.548236666666667,4.188723333333333,4.21875,4.9022499999999996,4.254896666666666,4.137166666666666,4.079266666666666,4.770043333333334,4.400683333333333,4.102523333333333,4.5424,4.1982566666666665,4.423703333333333,4.2837700000000005,4.571020000000001,4.391893333333333,4.6859133333333345,4.3100933333333336,4.121536666666667,4.331683333333333,4.255043333333333,4.2688033333333335,4.55487,4.279450000000001,4.21172,4.076613333333333,4.243766666666667,3.972523333333333,4.347513333333333,3.95903,4.16857,4.31934,4.35398,4.98167,4.04015,3.9876199999999997,4.0775733333333335,4.215023333333334,4.267046666666666,4.09463,4.101929999999999,4.28962,4.406103333333333,4.159126666666666,4.383993333333334,4.1645933333333325,4.0873333333333335,4.181979999999999,4.344386666666668,4.35142,4.359893333333334,4.153246666666667,3.92137,4.332730000000001,4.299273333333333
PKM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDK1,5.96271,5.931183333333333,6.3247366666666665,6.28785,6.477696666666667,6.39846,6.243343333333333,6.10736,6.1788566666666656,6.563053333333333,6.494313333333333,6.796513333333333,5.99341,7.128730000000001,5.936286666666667,6.176643333333334,5.972783333333335,6.298296666666666,5.849060000000001,5.746093333333334,5.98904,6.090656666666668,6.567833333333333,6.123606666666666,6.499933333333334,6.948263333333333,6.387973333333334,6.950010000000002,6.244409999999999,6.134926666666666,6.327303333333333,5.5332,5.258336666666667,5.952839999999999,6.233316666666667,5.973763333333333,6.506213333333334,5.986063333333333,5.837103333333334,5.897186666666666,5.95925,6.222953333333333,5.627816666666667,6.38019,6.137476666666667,6.284513333333333,6.149223333333334,6.003213333333332,6.436876666666667,6.059383333333334,6.0399400000000005,5.694746666666667,5.952003333333334,6.155963333333333,5.665406666666667,6.302586666666667,6.387466666666666,5.972269999999999,6.248956666666666,6.12473,6.148713333333333,6.633363333333333,5.9381699999999995,5.821676666666666
PDK2,7.491760000000001,7.56381,7.51864,7.246595,7.517275,7.502355,7.38433,7.555859999999999,7.406269999999999,7.540164999999999,7.055680000000001,7.36824,7.0722949999999996,7.27689,6.988665,7.694195000000001,7.17488,7.662715,7.43356,7.563445,7.949695,7.534815,7.46256,7.494025000000001,7.86735,7.5880399999999995,7.132325,7.157215000000001,7.413895,7.43848,8.009815,7.21231,7.262185,6.559715,6.899955,6.7761949999999995,6.8507,7.137179999999999,7.054970000000001,6.845174999999999,7.187060000000001,6.819635000000001,7.256265000000001,6.6222900000000005,7.024744999999999,7.030765000000001,6.8948,6.546125,6.765695000000001,6.623139999999999,6.588365,7.000929999999999,7.35788,7.180775000000001,6.9552499999999995,6.986750000000001,6.478095,6.935535,6.865715,6.91207,7.234225,6.6408700000000005,6.89727,6.415015
